,Comuna,Hombre,Mujer,Total
0,Santiago,14.34637,14.22387,14.28188
1,Cerrillos,12.2036,11.434,11.80844
2,Cerro Navia,10.86952,10.20906,10.49851
3,Conchalí,11.72225,11.37156,11.53703
4,El Bosque,11.68387,11.3129,11.48426
5,Estación Central,12.26049,12.21414,12.23545
6,Huechuraba,12.31372,12.45112,12.3878
7,Independencia,13.62766,13.06534,13.32279
8,La Cisterna,13.10503,12.73537,12.8928
9,La Florida,13.04994,12.47172,12.73162
10,La Granja,11.28189,10.24329,10.71717
11,La Pintana,10.43583,10.01668,10.22178
12,La Reina,15.16574,14.79277,14.9673
13,Las Condes,16.19217,15.39038,15.75725
14,Lo Barnechea,14.36147,14.32941,14.34413
15,Lo Espejo,10.34226,10.51503,10.44217
16,Lo Prado,11.50954,11.3732,11.43626
17,Macul,13.79282,13.33762,13.53426
18,Maipú,12.68964,12.37847,12.52147
19,Ñuñoa,16.34755,15.23569,15.74124
20,Pedro Aguirre Cerda,11.13402,11.00028,11.06617
21,Peñalolén,12.66384,12.46068,12.55157
22,Providencia,16.89579,15.99837,16.41011
23,Pudahuel,12.23485,11.72949,11.96121
24,Quilicura,12.31139,12.43156,12.37701
25,Quinta Normal,13.05344,12.79632,12.91526
26,Recoleta,11.70491,11.43283,11.56553
27,Renca,11.16209,10.744,10.93008
28,San Joaquín,12.30511,11.5189,11.85366
29,San Miguel,14.43576,13.96975,14.18625
30,San Ramón,11.05499,10.5067,10.76702
31,Vitacura,17.1439,15.95685,16.4827
32,Puente Alto,12.35816,11.95977,12.13474
33,Pirque,11.99881,11.98073,11.98885
34,San José de Maipo,11.50781,11.52023,11.51469
35,Colina,11.52401,11.76124,11.65198
36,Lampa,11.02687,10.88079,10.95347
37,Tiltil,9.802095,9.352325,9.592136
38,San Bernardo,11.64834,11.71479,11.68444
39,Buin,12.39397,12.58011,12.49045
40,Calera de Tango,11.0114,9.699067,10.24865
41,Paine,10.87957,10.97182,10.92736
42,Melipilla,10.88952,11.06084,10.98087
43,Alhué,9.712977,10.17645,9.941701
44,Curacaví,10.54165,11.41133,10.9461
45,María Pinto,9.32418,9.539152,9.435902
46,San Pedro,9.113007,8.328201,8.693395
47,Talagante,11.78128,11.45285,11.59987
48,El Monte,10.49601,11.04398,10.77746
49,Isla de Maipo,9.579828,10.46744,10.07409
50,Padre Hurtado,11.65223,11.28133,11.45598
51,Peñaflor,12.42776,11.65326,12.02066
