,Comuna,Ingresos del trabajo,Ingreso Autónomo,Ingreso Monetario,Ingreso Total
0,Santiago,1237510.0,1368452.0,1394156.0,1514786
1,Cerrillos,1038564.0,1156598.0,1227264.0,1525787
2,Cerro Navia,708694.2,838673.3,929732.4,1207898
3,Conchalí,643119.7,779546.7,848433.7,1121912
4,El Bosque,697401.8,834934.2,924615.8,1177919
5,Estación Central,1025019.0,1198078.0,1262826.0,1442866
6,Huechuraba,1593077.0,1908062.0,1976168.0,2436673
7,Independencia,1031694.0,1100313.0,1141890.0,1262507
8,La Cisterna,994616.9,1153932.0,1212874.0,1478735
9,La Florida,1193360.0,1400538.0,1470268.0,1805060
10,La Granja,637676.8,748384.9,852092.9,1104910
11,La Pintana,670768.5,765230.0,850182.7,1102203
12,La Reina,2373747.0,2952421.0,2989054.0,3508061
13,Las Condes,2800761.0,3543533.0,3575020.0,4173175
14,Lo Barnechea,3730178.0,4376857.0,4410384.0,5266500
15,Lo Espejo,691581.3,817909.8,920190.4,1172705
16,Lo Prado,674613.3,814283.4,913873.0,1190953
17,Macul,1486477.0,1733711.0,1804037.0,2111383
18,Maipú,1115899.0,1292478.0,1348597.0,1685229
19,Ñuñoa,2375813.0,2757769.0,2798457.0,3155805
20,Pedro Aguirre Cerda,875203.6,984661.6,1046959.0,1309175
21,Peñalolén,1522348.0,1799450.0,1874329.0,2350409
22,Providencia,2821058.0,3421931.0,3447966.0,3851247
23,Pudahuel,1049067.0,1215328.0,1284444.0,1590033
24,Quilicura,972585.4,1117015.0,1169030.0,1447292
25,Quinta Normal,1091018.0,1179919.0,1217242.0,1410485
26,Recoleta,1002029.0,1152220.0,1235396.0,1444083
27,Renca,653717.4,778954.8,872794.2,1137404
28,San Joaquín,862304.0,1002928.0,1080657.0,1322526
29,San Miguel,1519265.0,1726948.0,1775083.0,2002036
30,San Ramón,720287.2,841381.2,931126.8,1167907
31,Vitacura,3535173.0,4513816.0,4530404.0,5288943
32,Puente Alto,979094.4,1115788.0,1187575.0,1508983
33,Pirque,1324750.0,1511256.0,1568028.0,1969572
34,San José de Maipo,763021.0,1018763.0,1074862.0,1432744
35,Colina,1287272.0,1417876.0,1482151.0,1774698
36,Lampa,865886.7,970425.4,1032749.0,1323336
37,Tiltil,545718.5,681636.8,802096.7,1065950
38,San Bernardo,965680.5,1099018.0,1173298.0,1443106
39,Buin,1134386.0,1247915.0,1312953.0,1638947
40,Calera de Tango,810207.9,960001.0,1069438.0,1364549
41,Paine,898009.6,1036722.0,1141589.0,1470887
42,Melipilla,801356.3,941061.2,1020965.0,1267236
43,Alhué,859366.7,940098.6,1035732.0,1280614
44,Curacaví,1111881.0,1335837.0,1428558.0,1747804
45,María Pinto,525255.9,755876.5,855238.8,1108222
46,San Pedro,1031134.0,1145592.0,1328257.0,1566035
47,Talagante,820914.4,1007931.0,1099779.0,1444217
48,El Monte,663613.0,783562.8,884165.0,1183426
49,Isla de Maipo,1101545.0,1230229.0,1302006.0,1611680
50,Padre Hurtado,1181305.0,1284460.0,1358159.0,1716856
51,Peñaflor,1082017.0,1263293.0,1309875.0,1651327
