,Comuna,Pobres,No pobres,Total
0,Santiago,16.4653734141174,83.53462658588259,100
1,Cerrillos,22.55374730245521,77.4462526975448,100
2,Cerro Navia,23.02281789574101,76.97718210425899,100
3,Conchalí,18.7201896725848,81.27981032741519,100
4,El Bosque,17.47738027596023,82.52261972403977,100
5,Estación Central,22.811635884440932,77.18836411555907,100
6,Huechuraba,18.64442546840797,81.35557453159203,100
7,Independencia,22.41661693493683,77.58338306506317,100
8,La Cisterna,13.472792038608011,86.527207961392,100
9,La Florida,13.15624336137105,86.84375663862895,100
10,La Granja,22.308487917991197,77.6915120820088,100
11,La Pintana,26.99824915275631,73.0017508472437,100
12,La Reina,4.898036297931806,95.10196370206819,100
13,Las Condes,4.432177075426694,95.5678229245733,100
14,Lo Barnechea,10.88800332236285,89.11199667763715,100
15,Lo Espejo,28.78065809478786,71.21934190521213,100
16,Lo Prado,19.323172896852007,80.67682710314799,100
17,Macul,13.446239813411681,86.55376018658832,100
18,Maipú,14.843507291234252,85.15649270876575,100
19,Ñuñoa,5.168305952236074,94.83169404776393,100
20,Pedro Aguirre Cerda,20.17407167822362,79.82592832177639,100
21,Peñalolén,16.643867190048482,83.35613280995152,100
22,Providencia,4.32319776550672,95.67680223449328,100
23,Pudahuel,16.87675647047248,83.12324352952751,100
24,Quilicura,17.04715356960316,82.95284643039685,100
25,Quinta Normal,19.68067370077515,80.31932629922485,100
26,Recoleta,21.160112072428518,78.83988792757148,100
27,Renca,19.49707224376312,80.50292775623689,100
28,San Joaquín,19.61400511313466,80.38599488686535,100
29,San Miguel,12.919929032059722,87.08007096794027,100
30,San Ramón,19.17304962688529,80.82695037311471,100
31,Vitacura,2.442412161623575,97.55758783837642,100
32,Puente Alto,18.920498110570037,81.07950188942996,100
33,Pirque,19.417922888776733,80.58207711122327,100
34,San José de Maipo,24.40089148096033,75.59910851903967,100
35,Colina,24.576958201204878,75.42304179879513,100
36,Lampa,25.60550690784594,74.39449309215406,100
37,Tiltil,28.91258389259906,71.08741610740094,100
38,San Bernardo,18.7083020315408,81.2916979684592,100
39,Buin,19.12057793361563,80.87942206638436,100
40,Calera de Tango,18.583585302332057,81.41641469766795,100
41,Paine,20.948509004127917,79.05149099587209,100
42,Melipilla,22.81134898446986,77.18865101553014,100
43,Alhué,29.11035118064121,70.8896488193588,100
44,Curacaví,25.8418715898418,74.1581284101582,100
45,María Pinto,27.15921479932036,72.84078520067965,100
46,San Pedro,31.92779104468019,68.07220895531981,100
47,Talagante,16.98984462018954,83.01015537981046,100
48,El Monte,22.96377699192857,77.03622300807143,100
49,Isla de Maipo,22.876679870899828,77.12332012910016,100
50,Padre Hurtado,19.554949409727442,80.44505059027256,100
51,Peñaflor,15.130949005038161,84.86905099496184,100
