,Comuna,fonasa,ff.aa. y del orden,isapre,ninguno (particular),otro sistema,no sabe,Total
0,Santiago,68.41693558115689,0.5965754870619459,21.15402014596779,8.296640328125942,0.47914530430062124,1.0566831533868146,100.0
1,Cerrillos,77.25725725725725,0.7207207207207207,16.050494939383828,5.812479145812479,0.0,0.1590479368257146,99.99999999999999
2,Cerro Navia,89.46592688647492,0.0,5.337188126669643,4.85321315448226,0.1736074204771724,0.1700644118960056,100.0
3,Conchalí,85.86434400138897,1.0583656461600788,7.79703686555935,4.831008738931651,0.1801319520805602,0.2691127958793912,100.00000000000001
4,El Bosque,86.2611769111933,2.752680117972005,7.4417162117878375,2.004821871635223,0.7899911052853331,0.7496137821263049,100.00000000000001
5,Estación Central,75.45784025699459,0.7193652013947998,10.987708556418916,12.740360414779019,0.0,0.094725570412674,99.99999999999999
6,Huechuraba,68.63594184967522,0.6229164518678901,26.922878647283223,2.6617864384644463,0.15465511908444168,1.0018214936247722,100.0
7,Independencia,76.2096105773375,0.9064205340388428,6.7288628964346575,15.850755571469303,0.30435042071969926,0.0,100.00000000000001
8,La Cisterna,66.86801689762723,2.5425401713450984,25.249713766828535,4.812665324331793,0.0,0.5270638398673457,100.0
9,La Florida,69.57268532759151,1.590649031067364,26.412057828360503,1.6051676407259305,0.24066441095047678,0.578775761304214,99.99999999999999
10,La Granja,86.63718865924749,1.7728206147323795,5.314321674615792,3.916600423953365,0.31548092209856915,2.043587705352411,100.00000000000001
11,La Pintana,95.84539939546387,0.25893593185229025,3.23458538544463,0.23304233866706123,0.0,0.4280369485721533,100.00000000000001
12,La Reina,35.86079926357287,1.4678513537851954,60.71221308358848,1.7640231334173821,0.19511316563606892,0.0,100.0
13,Las Condes,27.615588975088507,3.1420644317599447,66.87637325416321,1.58840958759668,0.4945187646161368,0.2830449867755256,100.0
14,Lo Barnechea,35.66649870150006,2.1489205007946044,61.73417574324586,0.10698089073219892,0.0,0.34342416372727624,100.0
15,Lo Espejo,91.84312804096058,0.6236110703202248,4.7813445328790865,1.8688752484164979,0.0,0.883041107423615,100.0
16,Lo Prado,86.96577270133562,2.057119645637688,6.454732729189435,3.500101550335116,0.0,1.0222733735021325,99.99999999999999
17,Macul,70.31114606316127,2.2937282915000985,22.5397033444743,3.6597709184379346,0.0,1.1956513824264003,100.00000000000001
18,Maipú,71.87943698121451,2.392215487112276,22.315114405854086,2.4843681738750547,0.3085408475316732,0.6203241044124072,100.00000000000001
19,Ñuñoa,37.62058493506891,1.3104935222098397,59.025057156972004,1.4541040046261724,0.05859307682586367,0.5311673042972086,100.0
20,Pedro Aguirre Cerda,89.55192925893455,0.8955758552749418,4.353441368062822,2.091876655636943,0.537345513164965,2.5698313489257805,99.99999999999999
21,Peñalolén,66.48076632252972,1.4591701615193664,30.926587806560363,1.016181444637476,0.0,0.11729426475307345,100.0
22,Providencia,25.855076757837818,2.16662654395289,68.99131497564859,2.290698320401474,0.40801713548514534,0.28826626667407396,99.99999999999999
23,Pudahuel,79.87067851342019,1.7430622803328717,14.659778780010726,2.3607344164136435,0.1697537413338786,1.1959922684886901,100.00000000000001
24,Quilicura,78.49543592243487,0.9005354837029126,16.50622002091326,3.4246396927759934,0.10903177550617908,0.5641371046667832,100.0
25,Quinta Normal,75.34465192826966,0.532919157303771,7.460155743486346,15.476029324802827,1.1862438461374047,0.0,99.99999999999999
26,Recoleta,85.24757033248082,1.1805626598465473,8.954987212276215,3.878260869565217,0.3867007672634271,0.3519181585677749,100.0
27,Renca,91.13397117418467,0.6499335924049388,6.258300949382655,1.6429730926262973,0.0,0.3148211914014462,100.0
28,San Joaquín,83.00553254352171,1.9069412662090008,11.0795701416447,2.9796560746941654,0.14096882271722233,0.8873311512132008,100.0
29,San Miguel,62.74775670149932,1.1244888686960473,30.523767605633804,4.830900726942299,0.2832519309404816,0.4898341662880509,100.0
30,San Ramón,86.1733192040504,0.2955375014718003,8.688331567172966,4.606146238078417,0.0,0.23666548922642175,100.00000000000001
31,Vitacura,13.143273055316357,1.6904498298273671,82.28871939968016,2.3280846352564892,0.5494730799196293,0.0,100.00000000000001
32,Puente Alto,77.8966770155838,1.3181649934658297,15.87554105196365,2.8676320620028553,0.25199990935255057,1.7899849676313067,100.0
33,Pirque,72.42939616164769,0.6241223279762833,22.627555000780152,3.301607114994539,0.3183023872679045,0.6990170073334373,100.0
34,San José de Maipo,81.35566768974665,1.0456224314623108,15.476252405972012,1.305727513915622,0.6138479945898143,0.20288196431358269,99.99999999999999
35,Colina,75.22865295968391,1.9907179964251742,18.10252014759222,3.815237955868672,0.0,0.8628709404300243,100.0
36,Lampa,85.30734085567899,0.5211146306216883,11.471820397915542,2.361802443545915,0.0,0.3379216722378735,99.99999999999999
37,Tiltil,88.69392185238785,0.0,6.204775687409551,3.5727206946454415,1.0989507959479017,0.42963096960926195,100.0
38,San Bernardo,80.49599767137244,1.6830155726968419,14.896521612574588,1.8244796972784165,0.0,1.0999854460777179,100.00000000000001
39,Buin,76.57686681526887,0.24641264976316524,20.69866258010588,1.9800083588743382,0.2603441069935915,0.23770548899414878,99.99999999999999
40,Calera de Tango,92.51737399635653,0.33735915255380877,6.342352068011605,0.8029147830780649,0.0,0.0,100.0
41,Paine,89.33701209121156,0.7419343619944123,8.092880907942176,1.1615909854975017,0.0,0.6665816533543548,100.0
42,Melipilla,84.65299479611863,1.4093560453236869,9.405964290842947,3.469710128079761,0.14565397266081773,0.9163207669741584,100.00000000000001
43,Alhué,71.18159365657091,0.40296373326400625,25.009749122578967,2.0408163265306123,0.0,1.364877161055505,100.0
44,Curacaví,85.4559456158054,0.19119443411758458,10.579425354506347,3.773434595570662,0.0,0.0,100.0
45,María Pinto,89.03833658219624,0.0,5.1591942820013,4.691358024691358,0.0,1.1111111111111112,100.0
46,San Pedro,82.24564248074584,0.0,3.6400486420753952,9.055533036076206,0.0,5.058775841102554,100.00000000000001
47,Talagante,79.12918444225262,1.9215457926822022,10.256562607693313,7.96781975258761,0.19488776128625923,0.5299996434979977,100.0
48,El Monte,84.59364128333978,0.16428295322767686,6.880556629300348,7.037591805179745,0.16911480479319677,1.1548125241592577,100.0
49,Isla de Maipo,94.37504512961225,1.463402893109009,1.465809805762149,1.8148121404674225,0.0,0.8809300310491732,100.0
50,Padre Hurtado,80.32028199016078,1.3135872597251104,12.460059846832683,5.566262616016635,0.05959324440837856,0.2802150428564183,99.99999999999999
51,Peñaflor,80.25599388671316,1.0736460024835228,17.7218454484669,0.5033909637978794,0.0,0.4451236985385424,100.00000000000001
